Date,Interest Rate
2009-01-01,2736.0
2009-04-01,3321.0
2009-07-01,3518.0
2009-10-01,3464.0
2010-01-01,3718.0
2010-04-01,3493.0
2010-07-01,2785.0
2010-10-01,2878.0
2011-01-01,3457.0
2011-04-01,3201.0
2011-07-01,2414.0
2011-10-01,2047.0
2012-01-01,2040.0
2012-04-01,1826.0
2012-07-01,1641.0
2012-10-01,1707.0
2013-01-01,1951.0
2013-04-01,1986.0
2013-07-01,2707.0
2013-10-01,2744.0
2014-01-01,2765.0
2014-04-01,2621.0
2014-07-01,2500.0
2014-10-01,2276.0
2015-01-01,1969.0
2015-04-01,2164.0
2015-07-01,2223.0
2015-10-01,2190.0
2016-01-01,1914.0
2016-04-01,1750.0
2016-07-01,1564.0
2016-10-01,2139.0
2017-01-01,2447.0
2017-04-01,2261.0
2017-07-01,2241.0
2017-10-01,2371.0
2018-01-01,2759.0
2018-04-01,2921.0
2018-07-01,2924.0
2018-10-01,3041.0
2019-01-01,2653.0
2019-04-01,2339.0
2019-07-01,1798.0
2019-10-01,1792.0
2020-01-01,1365.0
2020-04-01,688.0
2020-07-01,651.0
2020-10-01,865.0
2021-01-01,1336.0
2021-04-01,1591.0
2021-07-01,1325.0
2021-10-01,1533.0
